"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"Ganga River - Patna, Bihar - February 14, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.5094899999999,85.3264
","Yes","3 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","No","14-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.5089959999999,85.3287519999999
","Yes","1 cutter suction dredger (CSD)","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Gandak River - Paschim Champaran, Bihar - November 25, 2024","No","25-11-2024 18:30:00","Serial Number,Latitude,Longitude
1,27.4346869904547,83.8886929582804
","No","boats  manual scooping","Stone and gravel collection, 2 boats


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Pashchim Champaran","Gandak","29-10-2025"
"Gandak River - Saran, Bihar - December 2, 2024","No","02-12-2024 18:30:00","Serial Number,Latitude,Longitude
1,26.1458500195294,84.8977860063314
","No","boats  sand skimming","sand skimming


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Saran","Gandak","29-10-2025"
"Ganga River - Ghazipur, Uttar Pradesh - February 11, 2025","No","11-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.519921,83.8759529999999
","Yes","2 sand-mining boats with extractors, 1 tractor","tractor 1


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Uttar Pradesh","Ghazipur","Ganga","29-10-2025"
"Ganga River - Ballia, Uttar Pradesh - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6965509999999,84.4285959999999
","Yes","2 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Uttar Pradesh","Ballia","Ganga","29-10-2025"
"Ganga River - Ballia, Uttar Pradesh - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.69807,84.486742
","Yes","25 sand-mining boats with extractors","bridge construction


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Uttar Pradesh","Ballia","Ganga","29-10-2025"
"Ganga River - Bhojpur, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.660128,84.5218399999999
","Yes","1 cutter suction dredgers (CSD), 1 truck","1 truck + dredging


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 
sandwatch@veditum.org","N/A","Bihar","Bhojpur","Ganga","29-10-2025"
"Ganga River - Bhojpur, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6907969,84.586505
","Yes","2 sand-mining boats with extractors, 1 cutter suction dredgers (CSD)","1 dredger


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Bhojpur","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7401909999999,84.7274879999999
","No","1 raft for sand collection (manual scooping)","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7218389999999,84.792866
","Yes","40 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.725694,84.813702
","Yes","13 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.726393,84.8381219999999
","Yes","250 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.707927,84.8664839999999
","Yes","4 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.7029589999999,84.8682859999999
","Yes","12 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.691447,84.876033
","Yes","25 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.685997,84.879704
","Yes","61 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.68457,84.8808789999999
","Yes","4 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.679818,84.886015
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.6762569999999,84.89069
","Yes","10 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.674775,84.8926249999999
","Yes","12 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.667653,84.905629
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.665634,84.909665
","Yes","2 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6606689999999,84.9270439999999
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
